    Step    Atoms         KinEng            CPU 
       0        0              0              0 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 1
 - a total of 75 particle templates (mass 2.968805e-07) inserted so far.
 4010000      668  9.3978303e-10      3651.2192 
 4020000      668  1.0186964e-09      3662.7616 
 4030000      668  1.1107916e-09      3674.5496 
 4040000      668  1.1217712e-09      3687.1424 
 4050000      668  3.4838919e-09      3698.9454 
 4060000      667   2.808571e-09      3718.2929 
 4070000      667  1.4374137e-09      3730.1278 
 4080000      667  7.6876266e-10      3741.7615 
 4090000      667  6.1979563e-10      3753.3646 
 4100000      667  7.9954597e-10      3765.5776 
 4110000      667  1.1047135e-09      3777.1982 
 4120000      667  6.6453299e-09      3789.0824 
 4130000      667  3.3914983e-09      3801.0165 
 4140000      667  3.5344732e-08      3813.6565 
 4150000      667  2.2752208e-09      3825.6972 
 4160000      667  2.4655077e-09      3838.1463 
 4170000      667  3.4772965e-09      3850.8124 
 4180000      667  1.6960157e-09      3863.3614 
 4190000      667  7.5392921e-09      3875.8058 
 4200000      667  1.7505133e-09      3888.2467 
 4210000      667  1.4020529e-09      3900.5365 
 4220000      667   1.338361e-09      3912.7819 
 4230000      667  1.1756666e-09      3925.0054 
 4240000      667  2.7778306e-09      3938.0108 
 4250000      667   1.269227e-09      3951.6422 
 4260000      667  1.9253552e-09      3963.9304 
 4270000      667  1.4883575e-09      3976.2965 
 4280000      667  1.5336659e-08      3990.0522 
 4290000      667  1.5872434e-08      4004.7965 
 4300000      667  1.8066682e-08      4019.4064 
 4310000      666  4.4530722e-09      4033.0392 
 4320000      666  5.1814682e-09      4046.6922 
 4330000      665  1.1260682e-09      4059.5446 
 4340000      665  9.4733533e-10      4072.9489 
 4350000      665  1.1640222e-09      4085.4521 
 4360000      665  1.3180104e-09      4098.0785 
 4370000      665  1.4157914e-09      4110.8141 
 4380000      665  1.7046501e-09      4124.3098 
 4390000      665   5.741879e-09      4137.8795 
 4400000      665   3.028096e-09      4151.0942 
 4410000      664  1.6806579e-09      4163.9539 
 4420000      664  1.5327612e-09       4176.534 
 4430000      664  4.8604682e-10      4188.6736 
 4440000      664  6.1402746e-10      4201.7377 
 4450000      664  1.0681671e-09      4213.9615 
 4460000      664  1.4542841e-09      4226.3151 
 4470000      664  1.6530896e-09      4238.6153 
 4480000      664  1.3110744e-09      4250.9109 
 4490000      664  1.4184628e-09      4263.3383 
 4500000      664  5.3212612e-09      4275.6938 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 4500001
 - a total of 750 particle templates (mass 2.968805e-06) inserted so far.
 4510000      739  7.9846646e-09      4288.0962 
 4520000      739  1.0983325e-08       4300.974 
 4530000      739  7.9259832e-10      4313.2122 
 4540000      739      5.853e-10      4326.4958 
 4550000      739  5.5984471e-10      4338.8877 
 4560000      739   9.267317e-10       4351.241 
 4570000      739  4.9736519e-10      4363.5225 
 4580000      739   5.465789e-10      4375.8769 
 4590000      739  1.6563221e-09      4388.2488 
 4600000      739  2.0887836e-09      4400.7256 
 4610000      739  1.0690482e-09      4413.0743 
 4620000      739  7.1849668e-10      4425.4609 
 4630000      739  6.8713564e-10      4437.7489 
 4640000      739  7.6775569e-10      4451.0657 
 4650000      739   8.594261e-10      4463.3468 
 4660000      739  1.1128632e-09      4476.3523 
 4670000      739  1.0558391e-09      4488.8208 
 4680000      739  9.8128733e-10      4501.3118 
 4690000      739  9.1549161e-10      4513.8011 
 4700000      739   8.767391e-10      4526.4524 
 4710000      739  1.0251328e-09      4538.9495 
 4720000      739  1.0119092e-09      4551.4771 
 4730000      739  7.9944685e-10      4563.9263 
 4740000      739  5.0277457e-10      4576.3997 
 4750000      739  3.3591943e-10       4589.829 
 4760000      739  3.3953825e-10       4602.357 
 4770000      739  6.1209074e-10      4614.8505 
 4780000      739  5.3758135e-10      4627.4088 
 4790000      739  6.2153084e-10      4639.9495 
 4800000      739  9.2263047e-10      4652.5802 
 4810000      739  5.4493806e-10      4665.7034 
 4820000      739  1.2147466e-09      4678.1064 
