t,in_mass_flow,out_mass_flow
2.875,0,0
2.88,0,0
2.885,2.93215314335032e-05,0
2.89,5.86430628670064e-05,0
2.895,0,0
2.9,0,0
2.905,8.79645943005096e-05,0
2.91,5.86430628670064e-05,0
2.915,0,0
2.92,0,0
2.925,0,0
2.93,5.86430628670064e-05,0
2.935,5.86430628670064e-05,0
2.94,2.93215314335032e-05,0
2.945,2.93215314335032e-05,0
2.95,0,0
2.955,0,0
2.96,2.93215314335032e-05,0
2.965,2.93215314335032e-05,0
2.97,0,0
2.975,0,0
2.98,5.86430628670064e-05,0
2.985,0,0
2.99,2.93215314335032e-05,0
2.995,2.93215314335032e-05,0
3,5.86430628670064e-05,0
3.005,0,0
3.01,2.93215314335032e-05,0
3.015,0,0
3.02,0,0
3.025,5.86430628670064e-05,0
3.03,0,0
3.035,0,0
3.04,0,0
3.045,2.93215314335032e-05,0
3.05,0,0
3.055,5.86430628670064e-05,0
3.06,0,0
3.065,2.93215314335032e-05,0
3.07,2.93215314335032e-05,0
3.075,0,0
3.08,0,0
3.085,2.93215314335032e-05,0
3.09,2.93215314335032e-05,0
3.095,2.93215314335032e-05,0
3.1,0,0
3.105,2.93215314335032e-05,0
3.11,0,0
3.115,5.86430628670064e-05,0
3.12,0,0
3.125,5.86430628670064e-05,0
3.13,0,0
3.135,0,0
3.14,0,0
3.145,2.93215314335032e-05,0
3.15,2.93215314335032e-05,0
3.155,0,0
3.16,0,0
3.165,0,0
3.17,0,0
3.175,0,0
3.18,0,0
3.185,0,0
3.19,0,0
3.195,0,0
3.2,8.79645943005096e-05,0
3.205,0,0
3.21,0,0
3.215,0,0
3.22,0,0
3.225,0,0
3.23,2.93215314335032e-05,0
3.235,2.93215314335032e-05,0
3.24,2.93215314335032e-05,0
3.245,5.86430628670064e-05,0
3.25,0,0
3.255,2.93215314335032e-05,0
3.26,5.86430628670064e-05,0
3.265,2.93215314335032e-05,0
3.27,5.86430628670064e-05,0
3.275,5.86430628670064e-05,0
3.28,0,0
3.285,0,0
3.29,5.86430628670064e-05,0
3.295,0,0
3.3,5.86430628670064e-05,0
3.305,2.93215314335032e-05,0
