t,in_mass_flow,out_mass_flow
2.37,5.86430628670064e-05,0
2.375,2.93215314335032e-05,0
2.38,2.93215314335032e-05,0
2.385,2.93215314335032e-05,0
2.39,2.93215314335032e-05,0
2.395,0,0
2.4,0,0
2.405,2.93215314335032e-05,0
2.41,2.93215314335032e-05,0
2.415,0,0
2.42,0,0
2.425,0,0
2.43,0,0
2.435,0,0
2.44,5.86430628670064e-05,0
2.445,0,0
2.45,0,0
2.455,0,0
2.46,0,0
2.465,2.93215314335032e-05,0
2.47,2.93215314335032e-05,0
2.475,5.86430628670064e-05,0
2.48,2.93215314335032e-05,0
2.485,0,0
2.49,2.93215314335032e-05,0
2.495,0,0
2.5,0,0
2.505,0,0
2.51,0,0
2.515,0,0
2.52,0,0
2.525,2.93215314335032e-05,0
2.53,2.93215314335032e-05,0
2.535,0,0
2.54,0,0
2.545,0,0
2.55,2.93215314335032e-05,0
2.555,0,0
2.56,5.86430628670064e-05,0
2.565,2.93215314335032e-05,0
2.57,2.93215314335032e-05,0
2.575,0,0
2.58,0,0
2.585,0,0
2.59,0,0
2.595,2.93215314335032e-05,0
2.6,0,0
2.605,2.93215314335032e-05,0
2.61,5.86430628670064e-05,0
2.615,0,0
2.62,5.86430628670064e-05,0
2.625,2.93215314335032e-05,0
2.63,0.000117286125734013,0
2.635,5.86430628670064e-05,0
2.64,5.86430628670064e-05,0
2.645,8.79645943005096e-05,0
2.65,5.86430628670064e-05,0
2.655,8.79645943005096e-05,0
2.66,5.86430628670064e-05,0
2.665,5.86430628670064e-05,0
2.67,2.93215314335032e-05,0
2.675,5.86430628670064e-05,0
2.68,2.93215314335032e-05,0
2.685,0,0
2.69,2.93215314335032e-05,0
2.695,5.86430628670064e-05,0
2.7,0,0
2.705,0,0
2.71,0,0
2.715,0,0
2.72,2.93215314335032e-05,0
2.725,0,0
2.73,2.93215314335032e-05,0
2.735,8.79645943005096e-05,0
2.74,0,0
2.745,2.93215314335032e-05,0
2.75,0,0
2.755,2.93215314335032e-05,0
2.76,0,0
2.765,0,0
2.77,0,0
2.775,0,0
2.78,0,0
2.785,0,0
2.79,5.86430628670064e-05,0
2.795,5.86430628670064e-05,0
2.8,2.93215314335032e-05,0
2.805,2.93215314335032e-05,0
2.81,0,0
2.815,0,0
2.82,2.93215314335032e-05,0
2.825,0,0
2.83,2.93215314335032e-05,0
2.835,2.93215314335032e-05,0
2.84,2.93215314335032e-05,0
2.845,0,0
2.85,0,0
2.855,0,0
2.86,0,0
2.865,0,0
2.87,0,0
2.875,2.93215314335032e-05,0
2.88,2.93215314335032e-05,0
2.885,2.93215314335032e-05,0
2.89,2.93215314335032e-05,0
2.895,2.93215314335032e-05,0
2.9,5.86430628670064e-05,0
2.905,2.93215314335032e-05,0
2.91,2.93215314335032e-05,0
2.915,0,0
2.92,0,0
2.925,0,0
2.93,2.93215314335032e-05,0
2.935,0,0
2.94,0,0
2.945,0,0
2.95,2.93215314335032e-05,0
2.955,5.86430628670064e-05,0
2.96,2.93215314335032e-05,0
2.965,0,0
2.97,0,0
2.975,8.79645943005096e-05,0
2.98,0,0
2.985,0,0
2.99,0,0
2.995,0,0
3,0,0
3.005,0,0
3.01,0,0
3.015,0,0
3.02,2.93215314335032e-05,0
3.025,0,0
3.03,0,0
3.035,0,0
3.04,8.79645943005096e-05,0
3.045,5.86430628670064e-05,0
3.05,2.93215314335032e-05,0
3.055,2.93215314335032e-05,0
3.06,0,0
3.065,0,0
3.07,2.93215314335032e-05,0
3.075,0,0
3.08,2.93215314335032e-05,0
3.085,2.93215314335032e-05,0
3.09,0,0
3.095,0,0
3.1,0,0
3.105,5.86430628670064e-05,0
3.11,0,0
3.115,2.93215314335032e-05,0
3.12,2.93215314335032e-05,0
3.125,0,0
3.13,0,0
3.135,2.93215314335032e-05,0
3.14,2.93215314335032e-05,0
3.145,0,0
3.15,5.86430628670064e-05,0
3.155,2.93215314335032e-05,0
3.16,0,0
3.165,5.86430628670064e-05,0
3.17,0,0
3.175,0,0
3.18,0,0
3.185,2.93215314335032e-05,0
3.19,0,0
3.195,0,0
3.2,2.93215314335032e-05,0
3.205,0,0
3.21,0,0
3.215,2.93215314335032e-05,0
3.22,0,0
3.225,0,0
3.23,5.86430628670064e-05,0
3.235,0,0
3.24,0,0
3.245,0,0
3.25,0,0
3.255,0,0
3.26,0,0
3.265,2.93215314335032e-05,0
3.27,2.93215314335032e-05,0
3.275,8.79645943005096e-05,0
3.28,0,0
3.285,0,0
3.29,0,0
3.295,0,0
3.3,0,0
3.305,0,0
3.31,0,0
3.315,0,0
3.32,0,0
3.325,0,0
3.33,0,0
3.335,0,0
3.34,0,0
3.345,0,0
3.35,0,0
3.355,0,0
3.36,0,0
3.365,0,0
3.37,0,0
3.375,0,0
3.38,0,0
3.385,0,0
3.39,0,0
3.395,0,0
3.4,0,0
3.405,0,0
3.41,0,0
3.415,0,0
3.42,0,0
3.425,0,0
3.43,0,0
3.435,0,0
3.44,0,0
3.445,0,0
3.45,0,0
3.455,0,0
3.46,2.93215314335032e-05,0
3.465,5.86430628670064e-05,0
3.47,0,0
3.475,0,0
3.48,0,0
3.485,0,0
3.49,0,0
3.495,2.93215314335032e-05,0
3.5,2.93215314335032e-05,0
3.505,0,0
3.51,0,0
3.515,0,0
3.52,2.93215314335032e-05,0
3.525,2.93215314335032e-05,0
3.53,0,0
3.535,0,0
3.54,0,0
3.545,2.93215314335032e-05,0
3.55,0,0
3.555,0,0
3.56,0,0
3.565,0,0
3.57,0,0
3.575,0,0
3.58,0,0
3.585,0,0
3.59,0,0
3.595,2.93215314335032e-05,0
3.6,0,0
3.605,0,0
3.61,0,0
3.615,0,0
3.62,0,0
3.625,0,0
3.63,0,0
3.635,0,0
3.64,0,0
3.645,0,0
3.65,0,0
3.655,2.93215314335032e-05,0
3.66,2.93215314335032e-05,0
3.665,0,0
3.67,0,0
3.675,0,0
3.68,0,0
3.685,2.93215314335032e-05,0
3.69,0,0
3.695,0,0
3.7,0,0
3.705,0,0
3.71,2.93215314335032e-05,0
3.715,0,0
3.72,2.93215314335032e-05,0
3.725,0,0
3.73,0,0
3.735,0,0
3.74,0,0
3.745,0,0
3.75,0,0
3.755,0,0
3.76,0,0
3.765,0,0
3.77,0,0
3.775,0,0
3.78,0,0
3.785,0,0
3.79,0,0
3.795,2.93215314335032e-05,0
3.8,0,0
3.805,0,0
3.81,2.93215314335032e-05,0
3.815,0,0
3.82,2.93215314335032e-05,0
3.825,2.93215314335032e-05,0
3.83,0,0
3.835,2.93215314335032e-05,0
3.84,2.93215314335032e-05,0
3.845,0,0
3.85,8.79645943005096e-05,0
3.855,5.86430628670064e-05,0
3.86,0,0
3.865,0,0
3.87,5.86430628670064e-05,0
3.875,2.93215314335032e-05,0
3.88,0,0
3.885,2.93215314335032e-05,0
3.89,2.93215314335032e-05,0
3.895,0,0
3.9,5.86430628670064e-05,0
3.905,8.79645943005096e-05,0
3.91,0,0
3.915,2.93215314335032e-05,0
3.92,0,0
3.925,0,0
3.93,0,0
3.935,0,0
3.94,0,0
3.945,8.79645943005096e-05,0
3.95,0,0
3.955,2.93215314335032e-05,0
3.96,8.79645943005096e-05,0
3.965,2.93215314335032e-05,0
3.97,2.93215314335032e-05,0
3.975,2.93215314335032e-05,0
3.98,0,0
3.985,2.93215314335032e-05,0
3.99,0,0
3.995,2.93215314335032e-05,0
4,2.93215314335032e-05,0
4.005,2.93215314335032e-05,0
4.01,0,0
4.015,0,0
4.02,0.000117286125734013,0
4.025,2.93215314335032e-05,0
4.03,2.93215314335032e-05,0
4.035,0,0
4.04,5.86430628670064e-05,0
4.045,0,0
4.05,0,0
4.055,2.93215314335032e-05,0
4.06,0,0
4.065,2.93215314335032e-05,0
4.07,0,0
4.075,0,0
4.08,2.93215314335032e-05,0
4.085,5.86430628670064e-05,0
4.09,0,0
4.095,2.93215314335032e-05,0
4.1,0,0
4.105,0,0
4.11,5.86430628670064e-05,0
4.115,2.93215314335032e-05,0
4.12,0,0
4.125,0,0
4.13,2.93215314335032e-05,0
4.135,0,0
4.14,0,0
4.145,2.93215314335032e-05,0
4.15,2.93215314335032e-05,0
4.155,0,0
4.16,0,0
4.165,0.000146607657167516,0
4.17,0.000117286125734013,0
4.175,2.93215314335032e-05,0
4.18,2.93215314335032e-05,0
4.185,0,0
4.19,8.79645943005096e-05,0
4.195,0,0
4.2,0,0
4.205,0,0
4.21,0,0
4.215,0,0
4.22,5.86430628670064e-05,0
4.225,2.93215314335032e-05,0
4.23,2.93215314335032e-05,0
4.235,2.93215314335032e-05,0
4.24,0,0
4.245,0,0
4.25,2.93215314335032e-05,0
